名称,年份,维度,模态,器官/结构,图像数量,任务类型,链接
ImageNet-1K,2012,2D,RGB Image,General,1.28M,Classification,https://www.image-net.org/
ImageNet-21K,2012,2D,RGB Image,General,14M,Classification,https://www.image-net.org/
COCO,2014,2D,RGB Image,Object Detection,330K,Detection/Segmentation,https://cocodataset.org/
COCO-Stuff,2017,2D,RGB Image,Object Detection,118K,Segmentation,https://github.com/nightrome/cocostuff
CIFAR-10,2009,2D,RGB Image,General,60K,Classification,https://www.cs.toronto.edu/~kriz/cifar.html
CIFAR-100,2009,2D,RGB Image,General,60K,Classification,https://www.cs.toronto.edu/~kriz/cifar.html
MNIST,1998,2D,Grayscale,General,70K,Classification,http://yann.lecun.com/exdb/mnist/
Fashion-MNIST,2017,2D,Grayscale,General,70K,Classification,https://github.com/zalandoresearch/fashion-mnist
Pascal VOC,2005,2D,RGB Image,Object Detection,20K,Detection/Segmentation,http://host.robots.ox.ac.uk/pascal/VOC/
ADE20K,2016,2D,RGB Image,Scene Parsing,25K,Segmentation,https://groups.csail.mit.edu/vision/datasets/ADE20K/
Cityscapes,2016,2D,RGB Image,Urban Street,25K,Segmentation,https://www.cityscapes-dataset.com/
KITTI,2012,2D,RGB+LiDAR,Autonomous Driving,15K,Detection/Tracking,http://www.cvlibs.net/datasets/kitti/
KITTI-360,2019,2D/3D,RGB+LiDAR,Autonomous Driving,320K,Detection/Segmentation,http://www.cvlibs.net/datasets/kitti-360/
nuScenes,2019,2D/3D,RGB+LiDAR+Radar,Autonomous Driving,1.4M,Detection/Tracking,https://www.nuscenes.org/
Waymo Open Dataset,2019,2D/3D,RGB+LiDAR,Autonomous Driving,1.15M,Detection/Tracking,https://waymo.com/open/
BDD100K,2018,2D,RGB Image,Autonomous Driving,100K,Detection/Segmentation,https://bdd-data.berkeley.edu/
Mapillary Vistas,2017,2D,RGB Image,Street View,250K,Segmentation,https://www.mapillary.com/dataset/vistas
LAION-5B,2022,2D,RGB Image,General,5.85B,Pre-training,https://laion.ai/blog/laion-5b/
LAION-400M,2021,2D,RGB Image,General,400M,Pre-training,https://laion.ai/blog/laion-400-open-dataset/
FFHQ,2018,2D,RGB Image,Face,70K,Generation,https://github.com/NVlabs/ffhq-dataset
CelebA,2015,2D,RGB Image,Face,200K,Attribute Recognition,https://mmlab.ie.cuhk.edu.hk/projects/CelebA.html
CelebA-HQ,2019,2D,RGB Image,Face,30K,Generation,https://github.com/tkarras/progressive_growing_of_gans
LFW,2007,2D,RGB Image,Face,13K,Face Verification,http://vis-www.cs.umass.edu/lfw/
VGGFace2,2018,2D,RGB Image,Face,3.3M,Face Recognition,https://github.com/ox-vgg/vgg_face2
MS-Celeb-1M,2016,2D,RGB Image,Face,10M,Face Recognition,https://www.microsoft.com/en-us/research/project/ms-celeb-1m-challenge-recognizing-one-million-celebrities-real-world/
Open Images,2018,2D,RGB Image,General,9M,Detection/Classification,https://storage.googleapis.com/openimages/web/index.html
Places365,2017,2D,RGB Image,Scene,10M,Scene Recognition,http://places2.csail.mit.edu/download.html
SUN397,2012,2D,RGB Image,Scene,108K,Scene Recognition,https://vision.princeton.edu/projects/2010/SUN/
DeepFashion,2016,2D,RGB Image,Fashion,800K,Fashion Analysis,https://mmlab.ie.cuhk.edu.hk/projects/DeepFashion.html
DeepFashion2,2019,2D,RGB Image,Fashion,491K,Fashion Analysis,https://github.com/switchablenorms/DeepFashion2
MPII Human Pose,2014,2D,RGB Image,Human Pose,25K,Pose Estimation,http://human-pose.mpi-inf.mpg.de/
